name,team,location,height,weight,year,country,url,changshu,xianfa,fenzhong,mingzhonglv,sanfen,faqiu,jingong,fanshou,defen,lanban,zhugong,qiangduan,gaimao,shiwu,fangui
Precious Achiuwa,热火,前锋,2.06,102.1 公斤,0,尼日利亚,https://china.nba.com//players/#!/precious_achiuwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Adams,雄鹿,后卫,1.83,102.1 公斤,2,美国,https://china.nba.com//players/#!/jaylen_adams,34,1,12.6,34.5,33.8,77.8,0.3,1.4,3.2,1.8,1.9,0.4,0.2,0.8,1.3
Steven Adams,鹈鹕,中锋,2.11,120.2 公斤,7,新西兰,https://china.nba.com//players/#!/steven_adams,530,466,26.8,58.9,10.0,55.7,3.4,4.2,9.8,7.6,1.2,0.9,1.0,1.4,2.6
Bam Adebayo,热火,中锋-前锋,2.06,115.7 公斤,3,美国,https://china.nba.com//players/#!/bam_adebayo,223,119,25.6,55.3,13.9,71.0,2.1,5.6,10.5,7.7,2.9,0.8,0.9,1.8,2.4
LaMarcus Aldridge,马刺,中锋-前锋,2.11,113.4 公斤,14,美国,https://china.nba.com//players/#!/lamarcus_aldridge,1003,962,34.4,49.1,31.2,81.1,2.7,5.7,19.5,8.3,2.0,0.7,1.1,1.6,2.5
Ty-Shon Alexander,太阳,后卫,1.93,88.5 公斤,0,美国,https://china.nba.com//players/#!/ty-shon_alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nickeil Alexander-Walker,鹈鹕,后卫,1.96,93.0 公斤,1,加拿大,https://china.nba.com//players/#!/nickeil_alexander-walker,47,1,12.6,36.8,34.6,67.6,0.2,1.6,5.7,1.8,1.9,0.4,0.2,1.2,1.2
Rawle Alkins,鹈鹕,后卫,1.96,99.8 公斤,1,美国,https://china.nba.com//players/#!/rawle_alkins,10,1,12.0,33.3,25.0,66.7,1.1,1.5,3.7,2.6,1.3,0.1,0.0,0.8,0.7
Grayson Allen,灰熊,后卫,1.93,89.8 公斤,2,美国,https://china.nba.com//players/#!/grayson_allen,76,2,14.9,42.9,37.1,80.0,0.1,1.3,7.1,1.4,1.0,0.2,0.1,0.9,1.3
Jarrett Allen,篮网,中锋,2.11,110.2 公斤,3,美国,https://china.nba.com//players/#!/jarrett_allen,222,175,24.3,60.9,16.7,69.4,2.5,5.3,10.1,7.8,1.2,0.5,1.4,1.2,2.2
Al-Farouq Aminu,魔术,前锋,2.03,99.8 公斤,10,美国,https://china.nba.com//players/#!/al-farouq_aminu,688,431,25.1,42.1,33.5,74.5,1.4,4.7,7.6,6.1,1.2,1.0,0.6,1.2,1.9
Justin Anderson,76人,前锋-后卫,1.96,104.8 公斤,5,美国,https://china.nba.com//players/#!/justin_anderson,226,24,13.1,41.3,29.6,77.4,0.6,1.9,5.2,2.6,0.7,0.4,0.3,0.6,1.2
Kyle Anderson,灰熊,前锋-后卫,2.06,104.3 公斤,6,美国,https://china.nba.com//players/#!/kyle_anderson,367,168,19.7,48.8,31.1,69.9,0.7,3.3,5.4,4.0,2.0,1.0,0.5,0.9,1.4
